question,answer,source,role,category
Q 1. What do you know about Blockchain? What is the difference between Bitcoin blockchain and Ethereum blockchain?,"The blockchain is a decentralized distributed database of immutable records. The technology was discovered with the invention of Bitcoins(the first cryptocurrency). It’s a trusted approach and there are a lot of companies in the present scenario which are using it. As everything is secure, and because it’s an open-source approach, it can easily be trusted in the long run.",https://www.edureka.co/blog/interview-questions/blockchain-interview-questions/,AI Engineer,
Q 2. What is the principle on which blockchain technology is based on?,It enables the information to be distributed among the users without being copied.,https://www.edureka.co/blog/interview-questions/blockchain-interview-questions/,AI Engineer,
Q 3. What are the different types of Blockchains?,Blockchains are of three types:,https://www.edureka.co/blog/interview-questions/blockchain-interview-questions/,AI Engineer,
Q 4. Why is Blockchain a trusted approach?,"These records are block records and transactional records. Both these records can easily be accessed, and the best thing is, it is possible to integrate them with each other without following the complex algorithms.",https://www.edureka.co/blog/interview-questions/blockchain-interview-questions/,AI Engineer,
Q 5. Name the two types of records that are present in the blockchain database?,"These records are block records and transactional records. Both these records can easily be accessed, and the best thing is, it is possible to integrate them with each other without following the complex algorithms.",https://www.edureka.co/blog/interview-questions/blockchain-interview-questions/,Backend Developer,
Q 6. Blockchain is a distributed database. How does it differ from traditional databases?,There are four key features of blockchain:,https://www.edureka.co/blog/interview-questions/blockchain-interview-questions/,Backend Developer,
Q 7. What are the properties of Blockchain?,There are four key features of blockchain:,https://www.edureka.co/blog/interview-questions/blockchain-interview-questions/,AI Engineer,
Q 8. What is encryption? What is its role in Blockchain?,"Data security always matters. Encryption is basically an approach that helps organizations to keep their data secure. The encrypted data is encoded or changed up to some extent before it is sent out of a network by the sender and only authorized parties can access that information.In Blockchain, this approach is useful because it simply adds more to the overall security and authenticity of blocks and helps to keep them secure.",https://www.edureka.co/blog/interview-questions/blockchain-interview-questions/,Cybersecurity Analyst,
Q 9. What do you mean by blocks in blockchain technology?,Blockchain consists of a list of records. Such records are stored in blocks. These blocks are in turn linked with other blocks and hence constitute a chain called Blockchain.,https://www.edureka.co/blog/interview-questions/blockchain-interview-questions/,AI Engineer,
Q 10. How does a block is recognized in the Blockchain approach?,"Every block in this online ledger basically consists of a hash pointer which acts as a link to the block which is prior to it, transaction data and in fact a stamp of time.",https://www.edureka.co/blog/interview-questions/blockchain-interview-questions/,AI Engineer,
Q 13. Is it possible in Blockchain to remove one or more block from the networks?,"Yes, it can be done. There are times when only a specific portion of this online ledger is to be considered. With the help of default options and filters, this can easily be done without making a lot of efforts.",https://www.edureka.co/blog/interview-questions/blockchain-interview-questions/,AI Engineer,
Q 14. What exactly do you know about the security of a block?,"Well, a block or the entire blockchain is protected by a strong cryptographic hash algorithm. Each block has a unique hash pointer. Any modification in the block constituents will result in the change in the hash identifier of the block.  Therefore, it offers an excellent level of security. Thus, one needs not to worry about the safety as well as the security of data that is present in a block.",https://www.edureka.co/blog/interview-questions/blockchain-interview-questions/,Cybersecurity Analyst,
Q 15. What are Merkle trees? How important are Merkle trees in Blockchains?,"Merkle Tree also known as ‘hash tree’ is a data structure in cryptography in which each leaf node is a hash of a block of data, and each non-leaf node is a hash of its child nodes.",https://www.edureka.co/blog/interview-questions/blockchain-interview-questions/,AI Engineer,
Q 16. What is a ledger? Is Blockchain an incorruptible ledger?,"Blockchain is considered incorruptible. Any ill-intentioned individual acting alone is powerless. “To take over the network, an attacker would have to control more than 50 percent of its total computing power,” Augier explains. “We hope that’s a theoretical scenario, but we can’t be sure. Should it happen, the individual would take every precaution to avoid being noticed.” Not to mention the energy required to power the computers needed for the blockchain system to work.",https://www.edureka.co/blog/interview-questions/blockchain-interview-questions/,AI Engineer,
Q 18. How is a blockchain ledger different from an ordinary one?,The first and in fact the prime difference is Blockchain is a digital ledger that can be decentralized very easily. The chances of error in this approach are far less than that in an ordinary ledger. An ordinary ledger is what that is prepared by hands or by human efforts while the Blockchain performs all its tasks automatically. You just need to configure it in a proper manner and by following all the guidelines.,https://www.edureka.co/blog/interview-questions/blockchain-interview-questions/,AI Engineer,
Q 19. What type of records can be kept in a Blockchain? Is there any restriction on same?,There is no restriction on keeping records of any type in the Blockchain approach. Industries are using Blockchain for securing all types of records.,https://www.edureka.co/blog/interview-questions/blockchain-interview-questions/,AI Engineer,
Q 20. A distributed digital ledger is used for recording transaction in Blockchain. What does the system rely on?,The system relies on the network servicing protocol and the nodes of the network.,https://www.edureka.co/blog/interview-questions/blockchain-interview-questions/,AI Engineer,
Q 21. Can You explain the components of Blockchain Ecosystem?,Following are the components of blockchain Ecosystem:,https://www.edureka.co/blog/interview-questions/blockchain-interview-questions/,AI Engineer,
Q 24. What is Double Spending? Is it possible to double spend in a Blockchain system?,It’s a condition when one digital token is spent multiple times because the token generally consists of a digital file that can easily be cloned. It simply leads to inflation and organizations must bear a huge loss. One of the primary aims of Blockchain technology is to eliminate this approach up to the possible extent.,https://www.edureka.co/blog/interview-questions/blockchain-interview-questions/,AI Engineer,
Q 1. Each block of a Blockchain consists of which of the following?,A hash pointer to the previous block Timestamp List of transactions All of the above [Ans],https://www.edureka.co/blog/interview-questions/blockchain-interview-questions/,AI Engineer,
Q 2. Which of the following is first distributed blockchain implementation?,A flat file A Database Both of the above [Ans] None of the above,https://www.edureka.co/blog/interview-questions/blockchain-interview-questions/,AI Engineer,
Q 3. Bitcoin is based on ________ blockchain?,A flat file A Database Both of the above [Ans] None of the above,https://www.edureka.co/blog/interview-questions/blockchain-interview-questions/,AI Engineer,
Q 4. Blockchain can be stored as which of the following?,A flat file A Database Both of the above [Ans] None of the above,https://www.edureka.co/blog/interview-questions/blockchain-interview-questions/,AI Engineer,
"Q 5. In blockchain, blocks are linked ________?",Backward to the previous block [Ans] Forward to next block Not linked with each other,https://www.edureka.co/blog/interview-questions/blockchain-interview-questions/,AI Engineer,
Q 8. A block in the blockchain can never have more than one parent block?,Multiple parent blocks Multiple children blocks [Ans],https://www.edureka.co/blog/interview-questions/blockchain-interview-questions/,AI Engineer,
Q 9. Blockchain forks can result in which of the following?,Multiple parent blocks Multiple children blocks [Ans],https://www.edureka.co/blog/interview-questions/blockchain-interview-questions/,AI Engineer,
Q 3. Explain the significance of blind signature and how it is useful?,"It is a form of digital signature in which the content of a message is disguised (blinded) before it is signed. The resulting blind signature can be publicly verified against the original, unblinded message in the manner of a regular digital signature.",https://www.edureka.co/blog/interview-questions/blockchain-interview-questions/,AI Engineer,
Q 4. What is Secret Sharing? Does it have any benefit in Blockchain technology?,It is a well-known fact that security matters a lot in digital transactions. Secret sharing is an approach meant for same. In Blockchain technology it is an approach that divides secret or personal information into different units and sent them to the users on the network.,https://www.edureka.co/blog/interview-questions/blockchain-interview-questions/,AI Engineer,
Q 5. Can you explain what are off-chain transactions?,An off-chain transaction is the movement of value outside of the blockchain. While an on-chain transaction – usually referred to as simply ‘a transaction’ – modifies the blockchain and depends on the blockchain to determine its validity an off-chain transaction relies on other methods to record and validate the transaction.,https://www.edureka.co/blog/interview-questions/blockchain-interview-questions/,AI Engineer,
Q 6. What exactly do you know about executive accounting? Does Blockchain support the same?,"Executive accounting is nothing but a special type of accounting which is designed exclusively for a business that offers services to the people. There is no strict upper limit on services and a business can manage any through the executive accounting. Blockchain has algorithms that are specially meant to handle executive accounting. In fact, it cut down many problems that are associated with the same.",https://www.edureka.co/blog/interview-questions/blockchain-interview-questions/,AI Engineer,
Q 12. Name organizations that can use Blockchain technology?,"There is no strict upper limit on the category of business who can consider this approach. The fact is almost all the businesses are engaged in online or financial transactions that they need to make to run the processes smoothly. Large-scale corporations, financial institutions, private businesses, government departments and even defense organizations can trust this technology very easily.",https://www.edureka.co/blog/interview-questions/blockchain-interview-questions/,AI Engineer,
Q 13. What are the core requirements for a Business Blockchain?,"A business blockchain requires a shared ledger, smart contract functionality, privacy and trust.",https://www.edureka.co/blog/interview-questions/blockchain-interview-questions/,AI Engineer,
Q 14. What are the key principles in Blockchain that are helpful in eliminating the security threats that needs to be followed?,"Yes, there are a few principles that need to be followed with respect to time. They are: 1.Auditing 2.Securing applications 3. Securing testing and similar approaches 4. Database security 5. Continuity planning 6. Digital workforce training",https://www.edureka.co/blog/interview-questions/blockchain-interview-questions/,Cybersecurity Analyst,
Q 15. What is a security policy?,"A security policy defines what exactly needs to be secured on a system. It bounds a network user under some core protocols that they all must agree and follow to enhance the overall security. When it comes to information or financial records of an organization, multiple security policies are implemented than just one.",https://www.edureka.co/blog/interview-questions/blockchain-interview-questions/,Cybersecurity Analyst,
Q 16.  Is the Blockchain Different from Banking Ledgers?,Banks and accounting systems use ledgers to track and timestamp transactions. The difference is that the blockchain is completely decentralized and an open source. This means that people do not have to rely on or trust the central bank to keep track of the transactions. The peer-to-peer blockchain technology can keep track of all the transactions without the fear of having them erased or lost.,https://www.edureka.co/blog/interview-questions/blockchain-interview-questions/,AI Engineer,
Q 18. Is there any network specific conditions for using Blockchain technology in an organization?,"There is no specific condition of using it. However, the network must be a peer-to-peer network under the concerned protocols.  It validates the new block simply and helps organizations to keep up the pace in this matter without investing in third-party applications.",https://www.edureka.co/blog/interview-questions/blockchain-interview-questions/,AI Engineer,
Q 19. Name the steps that are involved in the Blockchain project implementation?,"Well, there are total six steps involved in this process and they are:",https://www.edureka.co/blog/interview-questions/blockchain-interview-questions/,AI Engineer,
Q 20. Explain a real-life use-case where Blockchain is being used?,Blockchain in Stock Market,https://www.edureka.co/blog/interview-questions/blockchain-interview-questions/,AI Engineer,
What are the Legacy Classes in Java?,"I have one question, in blockchain to have a transaction it is to be verified through consensus then only it can be added, now suppose I want to send money to my friend but nobody is mining the block or suppose nobody is responding so I will not be able to transfer the money. Is this not a problem ??",https://www.edureka.co/blog/interview-questions/blockchain-interview-questions/,Software Engineer,
What is Iterator in Java and How to use it?,"I have one question, in blockchain to have a transaction it is to be verified through consensus then only it can be added, now suppose I want to send money to my friend but nobody is mining the block or suppose nobody is responding so I will not be able to transfer the money. Is this not a problem ??",https://www.edureka.co/blog/interview-questions/blockchain-interview-questions/,Software Engineer,
What is Conditional Operator in Java and how to write it?,"I have one question, in blockchain to have a transaction it is to be verified through consensus then only it can be added, now suppose I want to send money to my friend but nobody is mining the block or suppose nobody is responding so I will not be able to transfer the money. Is this not a problem ??",https://www.edureka.co/blog/interview-questions/blockchain-interview-questions/,Software Engineer,
Describe Markov chains?,"Markov chain is a type of stochastic process. In Markov chains, the future probability of any state depends only on the current state.",https://www.edureka.co/blog/interview-questions/data-science-interview-questions/,AI Engineer,
How do you find RMSE and MSE in a linear regression model?,Root Mean Squared Error(RMSE) is used to test the performance of the linear regression model. It evaluates how much the data is spread around the line of best fit. Its formula is-,https://www.edureka.co/blog/interview-questions/data-science-interview-questions/,AI Engineer,
How should you maintain a deployed model?,"After a model has been deployed, it needs to be maintained. The data being fed may change over time. For example, in the case of a model predicting house prices, the prices of houses may rise over time or fluctuate due to some other factor. The accuracy of the model on new data can be recorded. Some common ways to ensure accuracy include-",https://www.edureka.co/blog/interview-questions/data-science-interview-questions/,AI Engineer,
"A certain couple tells you that they have two children, at least one of which is a girl. What is the probability that they have two girls?","In the case of two children, there are 4 equally likely possibilities",https://www.edureka.co/blog/interview-questions/data-science-interview-questions/,AI Engineer,
"A jar has 1000 coins, of which 999 are fair and 1 is double headed. Pick a coin at random, and toss it 10 times. Given that you see 10 heads, what is the probability that the next toss of that coin is also a head?",There are two ways of choosing the coin. One is to pick a fair coin and the other is to pick the one with two heads.,https://www.edureka.co/blog/interview-questions/data-science-interview-questions/,AI Engineer,
Explain how a ROC curve works?,The ROC curve is a graphical representation of the contrast between true positive rates and false-positive rates at various thresholds. It is often used as a proxy for the trade-off between the sensitivity(true positive rate) and false-positive rate.,https://www.edureka.co/blog/interview-questions/data-science-interview-questions/,AI Engineer,
Python or R – Which one would you prefer for text analytics?,We will prefer Python because of the following reasons:,https://www.edureka.co/blog/interview-questions/data-science-interview-questions/,Software Engineer,
Can you explain the difference between a Validation Set and a Test Set?,A Validation set can be considered as a part of the training set as it is used for parameter selection and to avoid overfitting of the model being built.,https://www.edureka.co/blog/interview-questions/data-science-interview-questions/,AI Engineer,
What is ‘Naive’ in a Naive Bayes?,"The Naive Bayes Algorithm is based on the Bayes Theorem. Bayes’ theorem describes the probability of an event, based on prior knowledge of conditions that might be related to the event.",https://www.edureka.co/blog/interview-questions/data-science-interview-questions/,AI Engineer,
How do you build a random forest model?,"A random forest model combines many decision tree models together. The decision trees chosen have high bias and low variance. These decision trees are placed parallelly. Each decision tree takes a sample subset of rows and columns with replacement. The result of each decision tree is noted and the majority, which is mode in case of classification problem, or mean and median in case of a regression problem is taken as the answer.",https://www.edureka.co/blog/interview-questions/data-science-interview-questions/,AI Engineer,
What are Entropy and Information gain in Decision tree algorithm?,The core algorithm for building a decision tree is called ID3. ID3 uses Entropy and Information Gain to construct a decision tree.,https://www.edureka.co/blog/interview-questions/data-science-interview-questions/,AI Engineer,
What Are the Drawbacks of the Linear Model?,Some drawbacks of the linear model are:,https://www.edureka.co/blog/interview-questions/data-science-interview-questions/,AI Engineer,
What is the difference between Regression and classification ML techniques?,"Both Regression and classification machine learning techniques come under Supervised machine learning algorithms. In Supervised machine learning algorithm, we have to train the model using labelled data set, While training we have to explicitly provide the correct labels and algorithm tries to learn the pattern from input to output. If our labels are discrete values then it will a classification problem, e.g A,B etc. but if our labels are continuous values then it will be a regression problem, e.g 1.23, 1.333 etc.",https://www.edureka.co/blog/interview-questions/data-science-interview-questions/,AI Engineer,
If you are having 4GB RAM in your machine and you want to train your model on 10GB data set. How would you go about this problem? Have you ever faced this kind of problem in your machine learning/data science experience so far?,"First of all, you have to ask which ML model you want to train.",https://www.edureka.co/blog/interview-questions/data-science-interview-questions/,AI Engineer,
What are Artificial Neural Networks?,Artificial Neural networks are a specific set of algorithms that have revolutionized machine learning. They are inspired by biological neural networks. Neural Networks can adapt to changing the input so the network generates the best possible result without needing to redesign the output criteria.,https://www.edureka.co/blog/interview-questions/data-science-interview-questions/,AI Engineer,
Describe the structure of Artificial Neural Networks?,"Artificial Neural Networks works on the same principle as a biological Neural Network. It consists of inputs which get processed with weighted sums and Bias, with the help of Activation Functions.",https://www.edureka.co/blog/interview-questions/data-science-interview-questions/,AI Engineer,
What are Recurrent Neural Networks(RNNs)?,"RNNs are a type of artificial neural networks designed to recognise the pattern from the sequence of data such as Time series, stock market and government agencies etc. To understand recurrent nets, first, you have to understand the basics of feedforward nets.",https://www.edureka.co/blog/interview-questions/data-science-interview-questions/,AI Engineer,
What Is a Multi-layer Perceptron(MLP)?,"As in Neural Networks, MLPs have an input layer, a hidden layer, and an output layer. It has the same structure as a single layer perceptron with one or more hidden layers. A single layer perceptron can classify only linear separable classes with binary output (0,1), but MLP can classify nonlinear classes.",https://www.edureka.co/blog/interview-questions/data-science-interview-questions/,AI Engineer,
What are the important skills to have in Python with regard to data analysis?,The following are some of the important skills to possess which will come handy when performing data analysis using Python.,https://www.edureka.co/blog/interview-questions/data-science-interview-questions/,Software Engineer,
What is the Format Function in Python and How does it work?,"very well video, thanks to dedicate your time teaching us.",https://www.edureka.co/blog/interview-questions/data-science-interview-questions/,Software Engineer,
How to Implement Matrices in Python using NumPy?,"very well video, thanks to dedicate your time teaching us.",https://www.edureka.co/blog/interview-questions/data-science-interview-questions/,Software Engineer,
How to reverse a number in Python?,"very well video, thanks to dedicate your time teaching us.",https://www.edureka.co/blog/interview-questions/data-science-interview-questions/,Software Engineer,
How To Reverse A String In Python?,"very well video, thanks to dedicate your time teaching us.",https://www.edureka.co/blog/interview-questions/data-science-interview-questions/,Software Engineer,
Python Programs: Which Python Fundamentals One Should Focus On?,"very well video, thanks to dedicate your time teaching us.",https://www.edureka.co/blog/interview-questions/data-science-interview-questions/,Software Engineer,
How To Best Utilize Python CGI In Day To Day Coding?,"very well video, thanks to dedicate your time teaching us.",https://www.edureka.co/blog/interview-questions/data-science-interview-questions/,Software Engineer,
What is Try Except in Python and how it works?,"very well video, thanks to dedicate your time teaching us.",https://www.edureka.co/blog/interview-questions/data-science-interview-questions/,Software Engineer,
What is containerization?,"Let me explain this is with an example. Usually, in the software development process, code developed on one machine might not work perfectly fine on any other machine because of the dependencies. This problem was solved by the containerization concept. So basically, an application that is being developed and deployed is bundled and wrapped together with all its configuration files and dependencies. This bundle is called a container. Now when you wish to run the application on another system, the container is deployed which will give a bug-free environment as all the dependencies and libraries are wrapped together. Most famous containerization environments are Docker and Kubernetes.",https://www.edureka.co/blog/interview-questions/docker-interview-questions/,AI Engineer,
What is a Docker Container?,"Docker containers include the application and all of its dependencies. It shares the kernel with other containers, running as isolated processes in user space on the host operating system. Docker containers are not tied to any specific infrastructure: they run on any computer, on any infrastructure, and in any cloud. Docker containers are basically runtime instances of Docker images.",https://www.edureka.co/blog/interview-questions/docker-interview-questions/,DevOps Engineer,
What are Docker Images?,"When you mention Docker images, your very next question will be “what are Docker images”.",https://www.edureka.co/blog/interview-questions/docker-interview-questions/,DevOps Engineer,
What is Docker Hub?,"Docker images create docker containers. There has to be a registry where these docker images live. This registry is Docker Hub. Users can pick up images from Docker Hub and use them to create customized images and containers. Currently, the Docker Hub is the world’s largest public repository of image containers.",https://www.edureka.co/blog/interview-questions/docker-interview-questions/,DevOps Engineer,
Explain Docker Architecture?,Docker Architecture consists of a Docker Engine which is a client-server application with three major components:,https://www.edureka.co/blog/interview-questions/docker-interview-questions/,DevOps Engineer,
What is a Dockerfile?,Let’s start by giving a small explanation of Dockerfile and proceed by giving examples and commands to support your arguments.,https://www.edureka.co/blog/interview-questions/docker-interview-questions/,DevOps Engineer,
What is a Docker Namespace?,"A namespace is one of the Linux features and an important concept of containers. Namespace adds a layer of isolation in containers. Docker provides various namespaces in order to stay portable and not affect the underlying host system. Few namespace types supported by Docker – PID, Mount, IPC, User, Network",https://www.edureka.co/blog/interview-questions/docker-interview-questions/,DevOps Engineer,
What is the lifecycle of a Docker Container?,This is one of the most popular questions asked in Docker interviews. Docker containers have the following lifecycle:,https://www.edureka.co/blog/interview-questions/docker-interview-questions/,DevOps Engineer,
What is Docker Machine?,Docker machine is a tool that lets you install Docker Engine on virtual hosts. These hosts can now be managed using the docker-machine commands. Docker machine also lets you provision Docker Swarm Clusters.,https://www.edureka.co/blog/interview-questions/docker-interview-questions/,DevOps Engineer,
How to check for Docker Client and Docker Server version?,The following command gives you information about Docker Client and Server versions:,https://www.edureka.co/blog/interview-questions/docker-interview-questions/,DevOps Engineer,
"How do you get the number of containers running, paused and stopped?",You can use the following command to get detailed information about the docker installed on your system.,https://www.edureka.co/blog/interview-questions/docker-interview-questions/,AI Engineer,
How to login into docker repository?,You can use the following command to login into hub.docker.com:,https://www.edureka.co/blog/interview-questions/docker-interview-questions/,DevOps Engineer,
How do you create a docker container from an image?,Pull an image from docker repository with the above command and run it to create a container. Use the following command:,https://www.edureka.co/blog/interview-questions/docker-interview-questions/,DevOps Engineer,
How do you list all the running containers?,The following command lists down all the running containers:,https://www.edureka.co/blog/interview-questions/docker-interview-questions/,AI Engineer,
"Suppose you have 3 containers running and out of these, you wish to access one of them. How do you access a running container?",The following command lets us access a running container:,https://www.edureka.co/blog/interview-questions/docker-interview-questions/,AI Engineer,
"How to start, stop and kill a container?",The following command is used to start a docker container:,https://www.edureka.co/blog/interview-questions/docker-interview-questions/,AI Engineer,
"Can you use a container, edit it, and update it? Also, how do you make it a new and store it on the local system?","Of course, you can use a container, edit it and update it. This sounds complicated but its actually just one command.",https://www.edureka.co/blog/interview-questions/docker-interview-questions/,AI Engineer,
"Once you’ve worked with an image, how do you push it to docker hub?",$ docker push <username/image name>,https://www.edureka.co/blog/interview-questions/docker-interview-questions/,DevOps Engineer,
How to delete a stopped container?,Use the following command to delete a stopped container:,https://www.edureka.co/blog/interview-questions/docker-interview-questions/,AI Engineer,
How to build a Dockerfile?,"Once you’ve written a Dockerfile, you need to build it to create an image with those specifications. Use the following command to build a Dockerfile:",https://www.edureka.co/blog/interview-questions/docker-interview-questions/,DevOps Engineer,
Do you know why docker system prune is used? What does it do?,$ docker system prune,https://www.edureka.co/blog/interview-questions/docker-interview-questions/,DevOps Engineer,
"Will you lose your data, when a docker container exists?","No, you won’t lose any data when Docker container exits. Any data that your application writes to the container gets preserved on the disk until you explicitly delete the container. The file system for the container persists even after the container halts.",https://www.edureka.co/blog/interview-questions/docker-interview-questions/,DevOps Engineer,
Where all do you think Docker is being used?,"When asked such a question, respond by talking about applications of Docker. Docker is being used in the following areas:",https://www.edureka.co/blog/interview-questions/docker-interview-questions/,DevOps Engineer,
How is Docker different from other containerization methods?,"Docker containers are very easy to deploy in any cloud platform. It can get more applications running on the same hardware when compared to other technologies, it makes it easy for developers to quickly create, ready-to-run containerized applications and it makes managing and deploying applications much easier. You can even share containers with your applications.",https://www.edureka.co/blog/interview-questions/docker-interview-questions/,DevOps Engineer,
How have you used Docker in your previous position?,"Explain how you have used Docker to help rapid deployment. Explain how you have scripted Docker and used it with other tools like Puppet, Chef or Jenkins. If you have no past practical experience in Docker and instead have experience with other tools in a similar space, be honest and explain the same. In this case, it makes sense if you can compare other tools to Docker in terms of functionality.",https://www.edureka.co/blog/interview-questions/docker-interview-questions/,DevOps Engineer,
How far do Docker containers scale? Are there any requirements for the same?,"Large web deployments like Google and Twitter and platform providers such as Heroku and dotCloud, all run on container technology. Containers can be scaled to hundreds of thousands or even millions of them running in parallel. Talking about requirements, containers require the memory and the OS at all the times and a way to use this memory efficiently when scaled.",https://www.edureka.co/blog/interview-questions/docker-interview-questions/,DevOps Engineer,
What platforms does docker run on?,This is a very straightforward question but can get tricky. Do some company research before going for the interview and find out how the company is using Docker. Make sure you mention the platform company is using in this answer.,https://www.edureka.co/blog/interview-questions/docker-interview-questions/,DevOps Engineer,
Can a container restart by itself?,"No, it’s not possible for a container to restart by itself. By default the flag -restart is set to false.",https://www.edureka.co/blog/interview-questions/docker-interview-questions/,AI Engineer,
Is it better to directly remove the container using the rm command or stop the container followed by remove container?,Its always better to stop the container and then remove it using the remove command.,https://www.edureka.co/blog/interview-questions/docker-interview-questions/,AI Engineer,
Will cloud overtake the use of Containerization?,"Docker containers are gaining popularity but at the same time, Cloud services are giving a good fight. In my personal opinion, Docker will never be replaced by Cloud. Using cloud services with containerization will definitely hype the game. Organizations need to take their requirements and dependencies into consideration into the picture and decide what’s best for them. Most of the companies have integrated Docker with the cloud. This way they can make the best out of both the technologies.",https://www.edureka.co/blog/interview-questions/docker-interview-questions/,Cloud Architect,
Is it a good practice to run stateful applications on Docker?,"The concept behind stateful applications is that they store their data onto the local file system. You need to decide to move the application to another machine, retrieving data becomes painful. I honestly would not prefer running stateful applications on Docker.",https://www.edureka.co/blog/interview-questions/docker-interview-questions/,DevOps Engineer,
Suppose you have an application that has many dependant services. Will docker compose wait for the current container to be ready to move to the running of the next service?,"The answer is yes. Docker compose always runs in the dependency order. These dependencies are specifications like depends_on, links, volumes_from, etc.",https://www.edureka.co/blog/interview-questions/docker-interview-questions/,DevOps Engineer,
How will you monitor Docker in production?,Docker provides functionalities like docker stats and docker events to monitor docker in production. Docker stats provides CPU and memory usage of the container. Docker events provide information about the activities taking place in the docker daemon.,https://www.edureka.co/blog/interview-questions/docker-interview-questions/,DevOps Engineer,
Is it a good practice to run Docker compose in production?,"Yes, using docker compose in production is the best practical application of docker compose. When you define applications with compose, you can use this compose definition in various production stages like CI, staging, testing, etc.",https://www.edureka.co/blog/interview-questions/docker-interview-questions/,DevOps Engineer,
What changes are expected in your docker compose file while moving it to production?,These are the following changes you need make to your compose file before migrating your application to the production environment:,https://www.edureka.co/blog/interview-questions/docker-interview-questions/,DevOps Engineer,
"Have you used Kubernetes? If you have, which one would you prefer amongst Docker and Kubernetes?","Be very honest in such questions. If you have used Kubernetes, talk about your experience with Kubernetes and Docker Swarm. Point out the key areas where you thought docker swarm was more efficient and vice versa. Have a look at this blog for understanding differences between Docker and Kubernetes.",https://www.edureka.co/blog/interview-questions/docker-interview-questions/,DevOps Engineer,
Are you aware of load balancing across containers and hosts? How does it work?,"While using docker service with multiple containers across different hosts, you come across the need to load balance the incoming traffic. Load balancing and HAProxy is basically used to balance the incoming traffic across different available(healthy) containers. If one container crashes, another container should automatically start running and the traffic should be re-routed to this new running container. Load balancing and HAProxy works around this concept.",https://www.edureka.co/blog/interview-questions/docker-interview-questions/,AI Engineer,
What Is Docker and Docker Container ? A Deep Dive Into Docker !,Difference between pod and container,https://www.edureka.co/blog/interview-questions/docker-interview-questions/,DevOps Engineer,
How To Become A DevOps Engineer?,Difference between pod and container,https://www.edureka.co/blog/interview-questions/docker-interview-questions/,DevOps Engineer,
DevOps Roles: Which Of Them Is Your Dream?,Difference between pod and container,https://www.edureka.co/blog/interview-questions/docker-interview-questions/,DevOps Engineer,
What is the difference between list and tuples in Python?,"Ans: Python is capable of scripting, but in general sense, it is considered as a general-purpose programming language. To know more about Scripting, you can refer to the 
      






.",https://www.edureka.co/blog/interview-questions/python-interview-questions/,Software Engineer,
What are the key features of Python?,"Ans: Python is capable of scripting, but in general sense, it is considered as a general-purpose programming language. To know more about Scripting, you can refer to the 
      






.",https://www.edureka.co/blog/interview-questions/python-interview-questions/,Software Engineer,
What type of language is python? Programming or scripting?,"Ans: Python is capable of scripting, but in general sense, it is considered as a general-purpose programming language. To know more about Scripting, you can refer to the 
      






.",https://www.edureka.co/blog/interview-questions/python-interview-questions/,Software Engineer,
What are the benefits of using Python?,Ans: The benefits of using python are-,https://www.edureka.co/blog/interview-questions/python-interview-questions/,Software Engineer,
What are Python namespaces?,"Ans: A namespace in python refers to the name which is assigned to each object in python. The objects are variables and functions. As each object is created, its name along with space(the address of the outer function in which the object is), gets created. The namespaces are maintained in python like a dictionary where the key is the namespace and value is the address of the object. There 4 types of namespace in python-",https://www.edureka.co/blog/interview-questions/python-interview-questions/,Software Engineer,
What are decorators in Python?,"Ans: Decorators are used to add some design patterns to a function without changing its structure. Decorators generally are defined before the function they are enhancing. To apply a decorator we first define the decorator function. Then we write the function it is applied to and simply add the decorator function above the function it has to be applied to. For this, we use the @ symbol before the decorator.",https://www.edureka.co/blog/interview-questions/python-interview-questions/,Software Engineer,
What are the common built-in data types in Python?,Ans: The common built-in data types in python are-,https://www.edureka.co/blog/interview-questions/python-interview-questions/,UX Developer,
What is slicing in Python?,"Ans: Slicing is used to access parts of sequences like lists, tuples, and strings. The syntax of slicing is-[start:end:step]. The step can be omitted as well. When we write [start:end] this returns all the elements of the sequence from the start (inclusive) till the end-1 element. If the start or end element is negative i, it means the ith element from the end. The step indicates the jump or how many elements have to be skipped. Eg. if there is a list- [1,2,3,4,5,6,7,8]. Then [-1:2:2] will return elements starting from the last element till the third element by printing every second element.i.e. [8,6,4].",https://www.edureka.co/blog/interview-questions/python-interview-questions/,Software Engineer,
What are Keywords in Python?,Ans: Keywords in python are reserved words that have special meaning.They are generally used to define type of variables. Keywords cannot be used for variable or function names. There are following 33 keywords in python-,https://www.edureka.co/blog/interview-questions/python-interview-questions/,Software Engineer,
What are the new features added in Python 3.9.0.0 version?,Ans: The new features in Python 3.9.0.0 version are-,https://www.edureka.co/blog/interview-questions/python-interview-questions/,Software Engineer,
How is memory managed in Python?,Ans: Memory is managed in Python in the following ways:,https://www.edureka.co/blog/interview-questions/python-interview-questions/,Software Engineer,
What is namespace in Python?,Ans: A namespace is a naming system used to make sure that names are unique to avoid naming conflicts.,https://www.edureka.co/blog/interview-questions/python-interview-questions/,Software Engineer,
What is PYTHONPATH?,"Ans: It is an environment variable which is used when a module is imported. Whenever a module is imported, PYTHONPATH is also looked up to check for the presence of the imported modules in various directories. The interpreter uses it to determine which module to load.",https://www.edureka.co/blog/interview-questions/python-interview-questions/,Software Engineer,
